order_id,customer_id,customer_name,product_id,product_name,category,quantity,unit_price_eur,discount_pct,tax_rate,total_amount_eur,payment_method,payment_status,order_date,shipping_city,shipping_country,shipping_method,delivery_date,delivery_status,warehouse_id,customer_segment,device_type,return_requested,customer_satisfaction_score,created_at
ORD-2023000000,CUST-770487,Thomas Meyer,PROD-35898,Samsung Max 8366,Electronics,4.0,248.9,12.03,0.19,1095.46,PayPal,Refunded,2023-03-06,Essen,Deutschland,Standard,2023-04-17,Delivered,WH-FRA,VIP,Tablet,True,,2023-04-03 20:36:00
ORD-2023000001,CUST-216739,Sophie Schmidt,PROD-40107,IKEA Pro 4514,Sports,1.0,18.84,4.47,0.19,117.36,credit_card,Pending,2023-12-09,Berlin,DE,Express,2024-07-10,Shipped,WH-HAM,VIP,mobile,True,3.0,2023-04-08 13:52:00
ORD-2023000002,CUST-126225,Max Becker,PROD-74280,Apple Plus 9026,Food,3.0,484.1,27.21,0.19,693.17,Invoice,pending,2024-04-13,Leipzig,Deutschland,Next Day,2023-06-25,Delivered,WH-MUC,VIP,MOBILE,True,,2023-07-10 21:17:00
ORD-2023000003,CUST-877572,Felix Schmidt,PROD-53897,Bosch Pro 2521,Books,3.0,88.23,0.0,0.19,920.51,PayPal,Failed,25-05-2025,Munich,GERMANY,Pickup,25/03/2024,Shipped,WH-DRS,Budget,Desktop,False,,2023-11-23 21:55:00
ORD-2023000004,CUST-388389,Petra Schneider,PROD-58730,Bosch Max 652,Clothing,1.0,27.45,0.0,0.19,1154.03,paypal,Pending,2024-09-15,Dresden,Germany,Standard,2023-11-18,delivered,WH-CGN,Regular,MOBILE,False,4.0,2023-07-07 12:44:00
ORD-2023000005,CUST-356787,Max Agyeman,PROD-17590,IKEA Pro 5317,Toys,2.0,354.25,0.0,0.19,918.26,credit_card,Pending,10/24/2025,Berlin,GERMANY,Next Day,23/10/2023,delivered,WH-FRA,Budget,Tablet,True,5.0,2023-02-28 01:59:00
ORD-2023000006,CUST-334053,Christina Weber,PROD-50832,Samsung Max 9707,Sports,2.0,637.67,0.0,0.19,263.74,Bank Transfer,COMPLETED,03/03/2024,Dortmund,GERMANY,Standard,2025-03-05,In Transit,WH-BER,New,Mobile,True,,2023-07-05 17:09:00
ORD-2023000007,CUST-246316,Sophie Wolf,PROD-95852,Samsung Max 8704,Clothing,3.0,45.46,2.29,0.19,1785.83,Klarna,Pending,2024-12-21,Dresden,Germany,Standard,2023-06-23,delivered,WH-MUC,VIP,MOBILE,False,2.0,2023-08-21 13:16:00
ORD-2023000008,CUST-872246,Leon Bauer,PROD-27889,Adidas Plus 1062,Electronics,2.0,589.76,7.71,0.19,792.73,paypal,Failed,2023-05-02,Bremen,GERMANY,standard,2024-05-31,Shipped,WH-DRS,New,mobile,False,2.0,2023-02-13 19:10:00
ORD-2023000009,CUST-207473,Lukas Meyer,PROD-41868,IKEA Max 7514,Clothing,2.0,353.77,0.0,0.19,1426.26,Invoice,Failed,2025-03-22,Stuttgart,GERMANY,Next Day,2023-03-26,Delivered,WH-DRS,New,Mobile,True,2.0,2023-11-22 02:16:00
ORD-2023000010,CUST-809570,Sabine Bauer,PROD-70158,Nike Max 3708,Toys,4.0,772.76,0.0,0.19,1023.35,PayPal,completed,2024-11-12,Nuremberg,Germany,express,25/09/2023,delivered,WH-CGN,New,Tablet,False,5.0,2023-03-25 16:11:00
ORD-2023000011,CUST-876646,Sophie Schneider,PROD-84045,IKEA Pro 1761,Clothing,2.0,449.83,25.16,0.07,559.14,Bank Transfer,Pending,2024-08-21,Bremen,DE,standard,2023-05-24,delivered,WH-BER,VIP,MOBILE,True,,2023-11-17 22:09:00
ORD-2023000012,CUST-671858,Sabine Mensah,PROD-63632,Bosch Max 678,Home,1.0,668.35,0.0,0.19,1073.38,Credit Card,pending,2024-07-16,Essen,DE,Pickup,2025-03-05,Shipped,WH-BER,New,mobile,False,5.0,2023-04-06 01:21:00
ORD-2023000013,CUST-191161,David Wagner,PROD-91876,Samsung Plus 4947,Beauty,3.0,299.65,0.0,0.19,761.37,Bank Transfer,Refunded,2023-11-28,Stuttgart,GERMANY,Next Day,2025-02-25,delivered,WH-CGN,New,Mobile,False,4.0,2023-07-03 22:57:00
ORD-2023000014,CUST-719176,David Meyer,PROD-87004,Bosch Pro 6410,Home,2.0,833.92,0.0,0.19,1791.26,PayPal,Pending,2025-04-15,Duisburg,Deutschland,Express,2025-01-01,DELIVERED,WH-FRA,Premium,Desktop,True,1.0,2023-01-03 09:22:00
ORD-2023000015,CUST-542417,Christina Klein,PROD-51813,Bosch Plus 3328,Clothing,6.0,426.86,18.18,0.19,1716.02,Credit Card,Completed,2025-09-19,Frankfurt,Deutschland,Standard,01/31/2023,Pending,WH-BER,Budget,mobile,False,4.0,2023-02-08 04:49:00
ORD-2023000016,CUST-133326,Hanna Boateng,PROD-86278,Nike Plus 5868,Sports,1.0,571.38,14.49,0.19,243.1,Bank Transfer,Pending,2025-02-20,Bremen,Germany,standard,09/08/2025,In Transit,WH-CGN,Budget,mobile,False,2.0,2023-06-22 12:45:00
ORD-2023000017,CUST-131244,Sarah Koch,PROD-76436,IKEA Max 5346,Clothing,2.0,929.31,0.0,0.19,308.33,Invoice,completed,2024-09-10,Berlin,Germany,express,2025-01-17,DELIVERED,WH-FRA,Budget,MOBILE,True,,2023-03-04 05:37:00
ORD-2023000018,CUST-198246,Mia Becker,PROD-86865,Adidas Pro 6818,Books,3.0,378.64,9.92,0.19,1783.48,credit_card,completed,31-03-2025,Duisburg,GERMANY,Pickup,2024-04-14,In Transit,WH-FRA,Budget,Tablet,False,,2023-03-25 15:04:00
ORD-2023000019,CUST-329258,Sarah Fischer,PROD-47720,Apple Pro 9865,Sports,2.0,349.17,6.04,0.19,961.04,Bank Transfer,completed,08 Jun 2023,Dresden,DE,standard,2025-07-13,In Transit,WH-DRS,Budget,Mobile,False,5.0,2023-03-20 06:41:00
ORD-2023000020,CUST-343962,Sarah Meyer,PROD-89085,IKEA Pro 5022,Sports,3.0,499.5,0.0,0.19,1670.38,credit_card,Refunded,2023-06-02,Stuttgart,GERMANY,standard,2023-07-09,Pending,WH-CGN,Premium,Desktop,False,4.0,2023-05-07 20:39:00
ORD-2023000021,CUST-629903,Daniel Boateng,PROD-10409,Apple Max 3201,Food,4.0,843.07,0.29,0.19,1100.35,paypal,Completed,2025-06-24,Hanover,Germany,Pickup,14 Jan 2024,delivered,WH-MUC,New,Tablet,True,2.0,2023-07-21 11:49:00
ORD-2023000022,CUST-731262,Felix Richter,PROD-14048,IKEA Plus 1759,Books,1.0,766.65,0.0,0.19,529.97,PayPal,Refunded,2024-09-13,Duisburg,Deutschland,standard,01/17/2025,delivered,WH-BER,Regular,Desktop,True,3.0,2023-05-13 22:25:00
ORD-2023000023,CUST-127824,Felix Meyer,PROD-88423,Nike Max 3505,Books,3.0,291.68,0.0,0.19,1509.33,PayPal,Refunded,2024-07-15,Stuttgart,Germany,Next Day,2024-01-20,Shipped,WH-FRA,Premium,Desktop,True,,2023-04-26 07:54:00
ORD-2023000024,CUST-688508,Michael Mensah,PROD-41192,Adidas Pro 4551,Sports,2.0,518.5,0.0,0.19,958.26,PayPal,Failed,2023-07-28,Essen,Germany,Standard,29 Sep 2024,Pending,WH-HAM,Regular,mobile,True,,2023-05-19 00:41:00
ORD-2023000025,CUST-308496,Sabine Osei,PROD-10146,Adidas Max 3860,Toys,3.0,425.68,0.84,0.19,1717.94,Invoice,Failed,08/07/2024,Hanover,Germany,express,2025-03-31,In Transit,WH-CGN,VIP,Desktop,False,,2023-06-17 14:33:00
ORD-2023000026,CUST-850800,Max Sowah,PROD-21911,IKEA Pro 1090,Home,5.0,180.17,29.54,0.07,585.56,Klarna,completed,13 Oct 2024,Nuremberg,Germany,Pickup,2023-06-29,Shipped,WH-MUC,New,mobile,True,2.0,2023-02-18 18:23:00
ORD-2023000027,CUST-781453,Anna Schulz,PROD-28013,Apple Max 3525,Toys,1.0,275.15,0.0,0.07,1750.74,paypal,Refunded,2024-01-08,Nuremberg,GERMANY,standard,2024-03-03,Delivered,WH-HAM,Regular,Desktop,True,,2023-07-23 23:36:00
ORD-2023000028,CUST-835392,Mia Becker,PROD-22415,IKEA Pro 6997,Sports,1.0,505.6,26.42,0.19,532.4,credit_card,Pending,2024-03-06,Nuremberg,DE,Pickup,2023-09-10,DELIVERED,WH-DRS,VIP,Desktop,False,2.0,2023-08-04 14:46:00
ORD-2023000029,CUST-671412,Petra Wolf,PROD-69000,Adidas Max 4433,Books,4.0,287.46,15.4,0.19,1547.79,Klarna,COMPLETED,2025-04-01,Cologne,GERMANY,Pickup,2025-04-02,Cancelled,WH-CGN,Regular,mobile,False,1.0,2023-08-16 13:33:00
ORD-2023000030,CUST-539898,Hanna Schneider,PROD-56528,Apple Max 3022,Beauty,2.0,42.36,1.15,0.19,1875.16,Credit Card,COMPLETED,2023-07-28,Dusseldorf,DE,Express,22/05/2023,delivered,WH-DRS,Regular,MOBILE,True,5.0,2023-01-01 18:56:00
ORD-2023000031,CUST-331148,Daniel Agyeman,PROD-11590,Bosch Max 4581,Clothing,1.0,501.24,0.0,0.19,265.98,Klarna,completed,2023-12-21,Cologne,GERMANY,Pickup,2024-12-25,Shipped,WH-DRS,New,Tablet,True,3.0,2023-06-13 02:42:00
ORD-2023000032,CUST-571029,Lisa Bauer,PROD-27828,IKEA Pro 7905,Beauty,1.0,323.11,0.0,0.19,124.44,PayPal,Failed,2025-04-08,Duisburg,GERMANY,standard,2023-06-12,DELIVERED,WH-FRA,VIP,MOBILE,False,,2023-12-15 16:31:00
ORD-2023000033,CUST-717889,David Becker,PROD-55906,Samsung Pro 5696,Beauty,5.0,736.02,0.0,0.19,1619.42,PayPal,Pending,2024-09-24,Dortmund,DE,Express,2025-09-21,Cancelled,WH-HAM,VIP,MOBILE,True,1.0,2023-06-07 05:08:00
ORD-2023000034,CUST-391704,Paul Schneider,PROD-32270,Nike Max 1713,Toys,5.0,882.36,10.77,0.19,1783.48,Klarna,COMPLETED,2025-12-24,Munich,Germany,Standard,2023-03-03,Delivered,WH-MUC,Budget,mobile,True,,2023-01-10 08:16:00
ORD-2023000035,CUST-948749,Sabine Boateng,PROD-24903,Apple Max 2539,Books,2.0,875.09,0.0,0.19,1835.07,paypal,Failed,02/02/2025,Frankfurt,GERMANY,Next Day,2024-02-29,Shipped,WH-FRA,Premium,Tablet,False,3.0,2023-11-03 20:02:00
ORD-2023000036,CUST-106814,David Meyer,PROD-13180,Samsung Plus 5700,Sports,1.0,122.59,5.83,0.19,1437.43,Invoice,Refunded,2025-10-23,Dortmund,Germany,express,06/04/2024,Delivered,WH-CGN,Premium,Mobile,False,2.0,2023-06-20 12:41:00
ORD-2023000037,CUST-895667,Paul Wagner,PROD-33637,Bosch Pro 1295,Food,2.0,335.68,11.01,0.07,1849.24,Invoice,Refunded,2025-06-08,Dusseldorf,DE,Pickup,2024-04-18,delivered,WH-FRA,New,mobile,False,1.0,2023-11-02 11:05:00
ORD-2023000038,CUST-944962,Thomas Becker,PROD-27539,Adidas Plus 4137,Electronics,1.0,340.54,0.0,0.19,495.45,PayPal,completed,01/31/2025,Berlin,Germany,Express,22 Dec 2024,Cancelled,WH-HAM,Budget,Desktop,True,2.0,2023-02-06 23:45:00
ORD-2023000039,CUST-267414,Sophie Wolf,PROD-46805,IKEA Pro 6850,Toys,4.0,87.35,0.0,0.19,1097.59,credit_card,Pending,2024-07-07,Stuttgart,GERMANY,express,2023-02-05,DELIVERED,WH-CGN,Premium,Desktop,False,3.0,2023-10-05 18:06:00
ORD-2023000040,CUST-832052,Anna Bauer,PROD-96344,Samsung Pro 9454,Beauty,4.0,520.26,4.83,0.19,308.94,credit_card,Refunded,2025-03-12,,GERMANY,express,15 Jan 2024,Shipped,WH-HAM,Regular,Desktop,True,3.0,2023-09-19 17:46:00
ORD-2023000041,CUST-543143,Max Sowah,PROD-27841,Bosch Max 5497,Food,1.0,870.47,11.62,0.19,859.41,Credit Card,Refunded,09-08-2024,Essen,GERMANY,express,2025-08-15,In Transit,WH-BER,Budget,mobile,True,4.0,2023-06-16 05:59:00
ORD-2023000042,CUST-456778,Max Sowah,PROD-17799,Adidas Pro 9446,Home,2.0,933.68,0.0,0.19,586.3,Credit Card,Completed,2025-09-16,Nuremberg,DE,Express,09-06-2025,Cancelled,WH-HAM,Budget,Mobile,True,3.0,2023-02-06 21:44:00
ORD-2023000043,CUST-391369,Christina Bauer,PROD-25481,Samsung Max 3730,Toys,2.0,118.14,0.0,0.19,1494.67,PayPal,Failed,10/29/2023,,DE,Pickup,2025-11-01,In Transit,WH-BER,VIP,Desktop,False,,2023-06-18 12:11:00
ORD-2023000044,CUST-263032,Max Mensah,PROD-46193,IKEA Max 7210,Sports,1.0,535.26,3.29,0.19,505.86,paypal,Completed,19 Jun 2024,Dresden,Deutschland,express,2024-07-21,Shipped,WH-DRS,VIP,Tablet,True,1.0,2023-09-17 02:20:00
ORD-2023000045,CUST-325772,Sarah Hoffmann,PROD-84708,IKEA Max 1966,Home,4.0,171.84,0.0,0.19,1507.14,PayPal,COMPLETED,2025-03-12,Dresden,Deutschland,Express,2025-02-18,Shipped,WH-MUC,Premium,mobile,False,,2023-02-19 10:16:00
ORD-2023000046,CUST-900581,David Hoffmann,PROD-68982,IKEA Max 5074,Home,4.0,363.96,28.54,0.19,1419.0,Klarna,completed,2025-07-02,Frankfurt,Germany,Standard,2024-05-24,delivered,WH-MUC,Premium,mobile,True,3.0,2023-03-24 15:08:00
ORD-2023000047,CUST-452944,David Agyeman,PROD-51675,Bosch Pro 5930,Books,1.0,430.44,1.26,0.07,658.78,credit_card,Refunded,2025-01-24,Cologne,GERMANY,Pickup,2024-05-11,Shipped,WH-FRA,Budget,MOBILE,False,4.0,2023-02-05 02:44:00
ORD-2023000048,CUST-207175,Lisa Richter,PROD-58606,Samsung Plus 1356,Home,1.0,371.08,0.0,0.19,294.06,PayPal,Pending,2025-03-24,Duisburg,Deutschland,express,2023-02-07,DELIVERED,WH-HAM,VIP,Mobile,True,,2023-04-03 00:56:00
ORD-2023000049,CUST-197251,Felix Bauer,PROD-69441,Bosch Pro 1073,Home,1.0,312.78,0.0,0.07,1901.42,Credit Card,Refunded,20 Jun 2025,Dresden,Deutschland,Express,2023-11-17,Delivered,WH-FRA,VIP,MOBILE,True,3.0,2023-03-12 13:31:00
ORD-2023000050,CUST-498382,Michael Richter,PROD-39619,Nike Plus 4883,Electronics,2.0,190.39,0.0,0.19,790.58,paypal,COMPLETED,2025-08-10,Leipzig,DE,Express,29 Sep 2023,Shipped,WH-CGN,Regular,mobile,False,1.0,2023-03-26 16:17:00
ORD-2023000051,CUST-201414,Daniel Klein,PROD-63751,Samsung Pro 2553,Toys,2.0,547.47,0.0,0.19,671.96,Invoice,Refunded,2024-04-17,Frankfurt,Deutschland,Express,2025-01-10,Pending,WH-HAM,Budget,mobile,False,3.0,2023-01-12 17:54:00
ORD-2023000052,CUST-476417,Sabine Weber,PROD-55066,Bosch Pro 6777,Clothing,2.0,763.55,0.0,0.19,819.54,credit_card,Failed,10/20/2025,Munich,Deutschland,express,2023-09-21,Shipped,WH-CGN,Premium,Tablet,True,,2023-02-21 07:06:00
